cytokine;value.mean;value.median;value.percentile.0;value.percentile.100;unit;ga.string;ga.weeks.mean;ga.weeks.sd;ga.weeks.percentile.0;ga.weeks.percentile.100;n;condition;condition.def;method;age.median;age.iqr;bmi.median;bmi.iqr;n.female;tissue
IL_10;92;44.5;4;743;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IFN_g;33.7;4;4;902;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TGF_b;897.8;718;39;3468;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_b;65.2;10;10;1658;pg/mL;First trimester;10.7;1.9;5;13;64;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
RANTES;46.6;43;2;160;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_4r;385.6;266;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
MIF;25.8;15.4;0.05;101;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
MIP;306.1;219;10;4223;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_R1;0.68;0.53;0.08;9.3;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_a;53.4;4;4;930;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_6;213.1;71;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_4;77.6;21;4;2538;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_5;17.8;11;4;244;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_12;16.2;4;4;276;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_1a;7.3;4;4;705;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_1b;19.8;10;4;373;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_8;188;15;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IL_10;87.4;46;4;891;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
IFN_g;27.3;4;4;2117;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TGF_b;952.4;872;39;3765;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
TNF_b;94.7;10;10;6821;pg/mL;Second trimester;16.5;1.7;14;19;233;healthy;normotensive;LabMap;20;5;20.8;3.2;211;serum
RANTES;49.4;43.4;23.6;160;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_4r;338.3;211;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
MIF;27.6;19.2;0.1;100;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
MIP;288.9;172;10;3300;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_R1;0.86;0.5;0.1;25.2;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_a;50.8;4;4;599;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_6;182.8;73;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_4;70.8;19;4;1694;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_5;15.2;11;4;163;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_12;11.9;4;4;298;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_1a;9.5;4;4;745;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_1b;23.3;9;4;1634;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_8;190.6;20.5;4;4000;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IL_10;79.4;41.5;3;836;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
IFN_g;36.8;4;4;2450;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TGF_b;814.9;682.5;39;4882;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
TNF_b;114.5;10;10;10000;pg/mL;Second trimester;16.5;1.7;14;19;144;preeclampsia;gestational hypertension (2 or more measurements of systolic blood pressure >=140 mmHg and/or diastolic blood pressure >=90 mmHg for the first time after 20 weeks of gestation) and proteinuria (2 random urine dipsticks of 1+ protein or one dipstick of 2+ protein);LabMap;;;;;;serum
